condition,fixationDuration,outcomeDelay,optcorrect,CBDrifts,CondOrder,trialOrder
highloss,1.5,2.5,0,Drift3,1,1
highloss,1,2,1,Drift3,2,2
highgain,2,1.5,0,Drift1,1,3
highloss,1.5,1.5,1,Drift3,3,4
lowloss,1.5,1.5,1,Drift4,1,5
lowloss,1.5,2,1,Drift4,2,6
lowgain,2,1.5,1,Drift2,1,7
highloss,1,2.5,0,Drift3,4,8
highgain,1.5,2,1,Drift1,2,9
lowloss,1.5,1.5,1,Drift4,3,10
lowgain,1,2.5,0,Drift2,2,11
lowloss,1.5,2.5,1,Drift4,4,12
highgain,1.5,2,1,Drift1,3,13
highloss,1,2.5,1,Drift3,5,14
lowgain,2,1.5,1,Drift2,3,15
highgain,2,1.5,1,Drift1,4,16
highloss,1.5,2,1,Drift3,6,17
highloss,1,2,1,Drift3,7,18
lowloss,1.5,2,1,Drift4,5,19
highgain,1,2.5,1,Drift1,5,20
highgain,1,2,0,Drift1,6,21
lowloss,1,1.5,1,Drift4,6,22
lowgain,2,1.5,1,Drift2,4,23
lowloss,1,2.5,1,Drift4,7,24
lowgain,1,2.5,0,Drift2,5,25
lowloss,1.5,1.5,1,Drift4,8,26
lowloss,2,2,0,Drift4,9,27
highgain,2,2,1,Drift1,7,28
lowgain,1.5,1.5,1,Drift2,6,29
highloss,1,1.5,0,Drift3,8,30
highgain,1,1.5,1,Drift1,8,31
highgain,1.5,1.5,0,Drift1,9,32
highloss,1,1.5,1,Drift3,9,33
highgain,1,2,1,Drift1,10,34
highgain,1,2.5,1,Drift1,11,35
lowgain,1,1.5,1,Drift2,7,36
lowloss,1,2.5,0,Drift4,10,37
lowloss,1,2,1,Drift4,11,38
lowgain,1,1.5,0,Drift2,8,39
lowgain,1.5,2,1,Drift2,9,40
highgain,1.5,1.5,1,Drift1,12,41
lowgain,1,2,1,Drift2,10,42
highgain,1,2,1,Drift1,13,43
highloss,1,1.5,1,Drift3,10,44
highloss,2,1.5,1,Drift3,11,45
lowloss,1.5,2,1,Drift4,12,46
lowloss,1,1.5,1,Drift4,13,47
highloss,2,1.5,1,Drift3,12,48
highgain,1,1.5,1,Drift1,14,49
highloss,1,1.5,1,Drift3,13,50
lowgain,1.5,2,1,Drift2,11,51
lowgain,1,2,0,Drift2,12,52
lowgain,1.5,1.5,0,Drift2,13,53
lowloss,1,2,0,Drift4,14,54
lowloss,2,2,0,Drift4,15,55
lowgain,1.5,1.5,1,Drift2,14,56
highloss,1,1.5,1,Drift3,14,57
lowgain,1.5,1.5,1,Drift2,15,58
highgain,1,1.5,1,Drift1,15,59
highloss,1,1.5,1,Drift3,15,60
