trialOrder,condition,fixationDuration,outcomeDelay,optcorrect,CBDrifts,CondOrder
181,lowgain,1,2,1,Drift2,1
182,lowgain,1,2,0,Drift2,2
183,lowloss,1,1.5,0,Drift4,1
184,lowgain,1,1.5,1,Drift2,3
185,highloss,1.5,2,1,Drift3,1
186,highloss,1,2,1,Drift3,2
187,highgain,1,1.5,1,Drift1,1
188,lowgain,1,1.5,1,Drift2,4
189,lowloss,1.5,1.5,1,Drift4,2
190,highloss,1.5,1.5,1,Drift3,3
191,highgain,1,1.5,1,Drift1,2
192,highloss,1.5,2,1,Drift3,4
193,lowloss,1.5,1.5,0,Drift4,3
194,lowgain,1.5,1.5,1,Drift2,5
195,highgain,1,2.5,0,Drift1,3
196,lowloss,1.5,1.5,1,Drift4,4
197,lowgain,1,2,1,Drift2,6
198,lowgain,1.5,2.5,1,Drift2,7
199,highloss,1.5,2,1,Drift3,5
200,lowloss,2,1.5,0,Drift4,5
201,lowloss,1,2.5,1,Drift4,6
202,highloss,1.5,2.5,1,Drift3,6
203,highgain,2,2,0,Drift1,4
204,highloss,1,2,1,Drift3,7
205,highgain,1,2,1,Drift1,5
206,highloss,2,1.5,0,Drift3,8
207,highloss,1,1.5,1,Drift3,9
208,lowloss,1.5,1.5,1,Drift4,7
209,highgain,1.5,1.5,1,Drift1,6
210,lowgain,1.5,2,1,Drift2,8
211,lowloss,2,2.5,1,Drift4,8
212,lowloss,1,2,1,Drift4,9
213,lowgain,1,1.5,1,Drift2,9
214,lowloss,1.5,1.5,1,Drift4,10
215,lowloss,1.5,2,1,Drift4,11
216,highgain,1.5,2,1,Drift1,7
217,highloss,1,2.5,1,Drift3,10
218,highloss,1,2.5,1,Drift3,11
219,highgain,1,1.5,0,Drift1,8
220,highgain,1,2,1,Drift1,9
221,lowloss,1,2.5,1,Drift4,12
222,highgain,1.5,1.5,1,Drift1,10
223,lowloss,1.5,2.5,1,Drift4,13
224,lowgain,2,1.5,1,Drift2,10
225,lowgain,1,1.5,1,Drift2,11
226,highloss,2,2,1,Drift3,12
227,highloss,1.5,2.5,0,Drift3,13
228,lowgain,1,1.5,1,Drift2,12
229,lowloss,1,1.5,1,Drift4,14
230,lowgain,1.5,1.5,0,Drift2,13
231,highgain,2,1.5,0,Drift1,11
232,highgain,1,2,1,Drift1,12
233,highgain,1,1.5,1,Drift1,13
234,highloss,1,1.5,0,Drift3,14
235,highloss,1,1.5,0,Drift3,15
236,highgain,2,1.5,0,Drift1,14
237,lowgain,1,2,1,Drift2,14
238,highgain,2,2,0,Drift1,15
239,lowloss,1,2,1,Drift4,15
240,lowgain,2,1.5,0,Drift2,15
