trialOrder,condition,fixationDuration,outcomeDelay,optcorrect,CBDrifts,CondOrder
61,highgain,2,2,1,Drift4,1
62,highgain,2,2.5,0,Drift4,2
63,highloss,1.5,2.5,1,Drift2,1
64,highgain,1,1.5,1,Drift4,3
65,lowgain,1.5,2,0,Drift1,1
66,lowgain,1,1.5,1,Drift1,2
67,lowloss,1,2,1,Drift3,1
68,highgain,1,1.5,1,Drift4,4
69,highloss,1.5,1.5,1,Drift2,2
70,lowgain,1.5,1.5,1,Drift1,3
71,lowloss,1,1.5,0,Drift3,2
72,lowgain,1,1.5,1,Drift1,4
73,highloss,1,2,1,Drift2,3
74,highgain,1.5,2,1,Drift4,5
75,lowloss,1,1.5,1,Drift3,3
76,highloss,1,1.5,1,Drift2,4
77,highgain,1.5,2,1,Drift4,6
78,highgain,2,2,1,Drift4,7
79,lowgain,2,1.5,1,Drift1,5
80,highloss,1,1.5,1,Drift2,5
81,highloss,1.5,2,1,Drift2,6
82,lowgain,1,1.5,1,Drift1,6
83,lowloss,1,2.5,1,Drift3,4
84,lowgain,1.5,1.5,1,Drift1,7
85,lowloss,1.5,2,1,Drift3,5
86,lowgain,1,1.5,1,Drift1,8
87,lowgain,1.5,2.5,1,Drift1,9
88,highloss,2,1.5,1,Drift2,7
89,lowloss,1,1.5,1,Drift3,6
90,highgain,1,2.5,0,Drift4,8
91,highloss,2,2,1,Drift2,8
92,highloss,1,2.5,1,Drift2,9
93,highgain,1,1.5,0,Drift4,9
94,highloss,1.5,2.5,1,Drift2,10
95,highloss,1,2,1,Drift2,11
96,lowloss,1,1.5,0,Drift3,7
97,lowgain,1.5,1.5,0,Drift1,10
98,lowgain,1.5,1.5,1,Drift1,11
99,lowloss,1.5,1.5,0,Drift3,8
100,lowloss,1.5,2,0,Drift3,9
101,highloss,1,2.5,1,Drift2,12
102,lowloss,2,1.5,1,Drift3,10
103,highloss,2,1.5,1,Drift2,13
104,highgain,1,2,1,Drift4,10
105,highgain,1,1.5,1,Drift4,11
106,lowgain,1.5,2,1,Drift1,12
107,lowgain,1,1.5,0,Drift1,13
108,highgain,1.5,1.5,1,Drift4,12
109,highloss,1,2,1,Drift2,14
110,highgain,2,1.5,1,Drift4,13
111,lowloss,1,2,1,Drift3,11
112,lowloss,1.5,2,0,Drift3,12
113,lowloss,1.5,2.5,1,Drift3,13
114,lowgain,1,2,1,Drift1,14
115,lowgain,1,1.5,1,Drift1,15
116,lowloss,1,2,1,Drift3,14
117,highgain,1,2,0,Drift4,14
118,lowloss,1.5,1.5,1,Drift3,15
119,highloss,2,2.5,1,Drift2,15
120,highgain,1,1.5,0,Drift4,15
