trialOrder,condition,fixationDuration,outcomeDelay,optcorrect,CBDrifts,CondOrder
1,highgain,1.5,2.5,0,Drift3,1
2,highgain,1,2,1,Drift3,2
3,highloss,2,1.5,0,Drift1,1
4,highgain,1.5,1.5,1,Drift3,3
5,lowgain,1.5,1.5,1,Drift4,1
6,lowgain,1.5,2,0,Drift4,2
7,lowloss,2,1.5,1,Drift2,1
8,highgain,1,2.5,1,Drift3,4
9,highloss,1.5,2,1,Drift1,2
10,lowgain,1.5,1.5,1,Drift4,3
11,lowloss,1,2.5,1,Drift2,2
12,lowgain,1.5,2.5,1,Drift4,4
13,highloss,1.5,2,1,Drift1,3
14,highgain,1,2.5,1,Drift3,5
15,lowloss,2,1.5,1,Drift2,3
16,highloss,2,1.5,0,Drift1,4
17,highgain,1.5,2,0,Drift3,6
18,highgain,1,2,1,Drift3,7
19,lowgain,1.5,2,0,Drift4,5
20,highloss,1,2.5,1,Drift1,5
21,highloss,1,2,1,Drift1,6
22,lowgain,1,1.5,1,Drift4,6
23,lowloss,2,1.5,1,Drift2,4
24,lowgain,1,2.5,1,Drift4,7
25,lowloss,1,2.5,1,Drift2,5
26,lowgain,1.5,1.5,0,Drift4,8
27,lowgain,2,2,1,Drift4,9
28,highloss,2,2,1,Drift1,7
29,lowloss,1.5,1.5,1,Drift2,6
30,highgain,1,1.5,1,Drift3,8
31,highloss,1,1.5,0,Drift1,8
32,highloss,1.5,1.5,1,Drift1,9
33,highgain,1,1.5,0,Drift3,9
34,highloss,1,2,1,Drift1,10
35,highloss,1,2.5,1,Drift1,11
36,lowloss,1,1.5,1,Drift2,7
37,lowgain,1,2.5,1,Drift4,10
38,lowgain,1,2,1,Drift4,11
39,lowloss,1,1.5,1,Drift2,8
40,lowloss,1.5,2,0,Drift2,9
41,highloss,1.5,1.5,1,Drift1,12
42,lowloss,1,2,0,Drift2,10
43,highloss,1,2,1,Drift1,13
44,highgain,1,1.5,1,Drift3,10
45,highgain,2,1.5,1,Drift3,11
46,lowgain,1.5,2,0,Drift4,12
47,lowgain,1,1.5,0,Drift4,13
48,highgain,2,1.5,1,Drift3,12
49,highloss,1,1.5,1,Drift1,14
50,highgain,1,1.5,1,Drift3,13
51,lowloss,1.5,2,1,Drift2,11
52,lowloss,1,2,1,Drift2,12
53,lowloss,1.5,1.5,1,Drift2,13
54,lowgain,1,2,1,Drift4,14
55,lowgain,2,2,1,Drift4,15
56,lowloss,1.5,1.5,0,Drift2,14
57,highgain,1,1.5,1,Drift3,14
58,lowloss,1.5,1.5,0,Drift2,15
59,highloss,1,1.5,1,Drift1,15
60,highgain,1,1.5,1,Drift3,15
