trialOrder,condition,fixationDuration,outcomeDelay,optcorrect,CBDrifts,CondOrder
61,highloss,2,2,1,Drift4,1
62,highloss,2,2.5,1,Drift4,2
63,highgain,1.5,2.5,1,Drift2,1
64,highloss,1,1.5,1,Drift4,3
65,lowloss,1.5,2,1,Drift1,1
66,lowloss,1,1.5,0,Drift1,2
67,lowgain,1,2,0,Drift3,1
68,highloss,1,1.5,1,Drift4,4
69,highgain,1.5,1.5,0,Drift2,2
70,lowloss,1.5,1.5,1,Drift1,3
71,lowgain,1,1.5,1,Drift3,2
72,lowloss,1,1.5,1,Drift1,4
73,highgain,1,2,1,Drift2,3
74,highloss,1.5,2,1,Drift4,5
75,lowgain,1,1.5,1,Drift3,3
76,highgain,1,1.5,1,Drift2,4
77,highloss,1.5,2,1,Drift4,6
78,highloss,2,2,1,Drift4,7
79,lowloss,2,1.5,1,Drift1,5
80,highgain,1,1.5,1,Drift2,5
81,highgain,1.5,2,1,Drift2,6
82,lowloss,1,1.5,1,Drift1,6
83,lowgain,1,2.5,1,Drift3,4
84,lowloss,1.5,1.5,0,Drift1,7
85,lowgain,1.5,2,1,Drift3,5
86,lowloss,1,1.5,0,Drift1,8
87,lowloss,1.5,2.5,0,Drift1,9
88,highgain,2,1.5,1,Drift2,7
89,lowgain,1,1.5,1,Drift3,6
90,highloss,1,2.5,1,Drift4,8
91,highgain,2,2,0,Drift2,8
92,highgain,1,2.5,0,Drift2,9
93,highloss,1,1.5,1,Drift4,9
94,highgain,1.5,2.5,1,Drift2,10
95,highgain,1,2,1,Drift2,11
96,lowgain,1,1.5,1,Drift3,7
97,lowloss,1.5,1.5,1,Drift1,10
98,lowloss,1.5,1.5,1,Drift1,11
99,lowgain,1.5,1.5,1,Drift3,8
100,lowgain,1.5,2,1,Drift3,9
101,highgain,1,2.5,1,Drift2,12
102,lowgain,2,1.5,0,Drift3,10
103,highgain,2,1.5,1,Drift2,13
104,highloss,1,2,1,Drift4,10
105,highloss,1,1.5,1,Drift4,11
106,lowloss,1.5,2,0,Drift1,12
107,lowloss,1,1.5,1,Drift1,13
108,highloss,1.5,1.5,1,Drift4,12
109,highgain,1,2,0,Drift2,14
110,highloss,2,1.5,1,Drift4,13
111,lowgain,1,2,1,Drift3,11
112,lowgain,1.5,2,1,Drift3,12
113,lowgain,1.5,2.5,0,Drift3,13
114,lowloss,1,2,1,Drift1,14
115,lowloss,1,1.5,1,Drift1,15
116,lowgain,1,2,1,Drift3,14
117,highloss,1,2,1,Drift4,14
118,lowgain,1.5,1.5,1,Drift3,15
119,highgain,2,2.5,0,Drift2,15
120,highloss,1,1.5,1,Drift4,15
