trialOrder,condition,fixationDuration,outcomeDelay,optcorrect,CBDrifts,CondOrder
1,highloss,2,2.5,1,Drift3,1
2,highloss,3,1.5,0,Drift3,2
3,highgain,2,3,0,Drift1,1
4,highloss,2,2,1,Drift3,3
5,lowloss,3.5,2.5,1,Drift4,1
6,lowloss,2,2,0,Drift4,2
7,lowgain,2.5,1.5,1,Drift2,1
8,highloss,1.5,2,1,Drift3,4
9,highgain,3,3,0,Drift1,2
10,lowloss,3.5,2.5,1,Drift4,3
11,lowgain,3,2,0,Drift2,2
12,lowloss,1.5,3,1,Drift4,4
13,highgain,2.5,2,1,Drift1,3
14,highloss,3,2,1,Drift3,5
15,lowgain,2,2.5,1,Drift2,3
16,highgain,3,2,1,Drift1,4
17,highloss,2.5,3,1,Drift3,6
18,highloss,1.5,2.5,0,Drift3,7
19,lowloss,1.5,2.5,1,Drift4,5
20,highgain,2,3,0,Drift1,5
21,highgain,2.5,2,1,Drift1,6
22,lowloss,1.5,3,1,Drift4,6
23,lowgain,2.5,2,0,Drift2,4
24,lowloss,1.5,2.5,1,Drift4,7
25,lowgain,2.5,2.5,0,Drift2,5
26,lowloss,2,2.5,1,Drift4,8
27,lowloss,1.5,1.5,0,Drift4,9
28,highgain,2,1.5,1,Drift1,7
29,lowgain,3,2.5,1,Drift2,6
30,highloss,2.5,3,0,Drift3,8
31,highgain,3,3,1,Drift1,8
32,highgain,2.5,2,1,Drift1,9
33,highloss,2,2,1,Drift3,9
34,highgain,3,2.5,0,Drift1,10
35,highgain,2,1.5,1,Drift1,11
36,lowgain,3,1.5,1,Drift2,7
37,lowloss,1.5,2.5,0,Drift4,10
38,lowloss,3,2.5,1,Drift4,11
39,lowgain,2.5,3,1,Drift2,8
40,lowgain,2.5,2.5,1,Drift2,9
41,highgain,2,2.5,0,Drift1,12
42,lowgain,3,2.5,1,Drift2,10
43,highgain,1.5,1.5,1,Drift1,13
44,highloss,3,2.5,1,Drift3,10
45,highloss,2,2,1,Drift3,11
46,lowloss,2,1.5,1,Drift4,12
47,lowloss,3,3,0,Drift4,13
48,highloss,2,2,1,Drift3,12
49,highgain,2.5,2.5,1,Drift1,14
50,highloss,1.5,1.5,1,Drift3,13
51,lowgain,1.5,2,0,Drift2,11
52,lowgain,3,2.5,1,Drift2,12
53,lowgain,1.5,2,0,Drift2,13
54,lowloss,2,2.5,1,Drift4,14
55,lowloss,2.5,1.5,0,Drift4,15
56,lowgain,3,2.5,1,Drift2,14
57,highloss,1.5,1.5,0,Drift3,14
58,lowgain,2,2.5,1,Drift2,15
59,highgain,1.5,3,0,Drift1,15
60,highloss,2.5,2,0,Drift3,15
