trialOrder,condition,fixationDuration,outcomeDelay,optcorrect,CBDrifts,CondOrder
1,lowloss,2,2.5,1,Drift3,1
2,lowloss,3,1.5,0,Drift3,2
3,lowgain,2,3,0,Drift1,1
4,lowloss,2,2,1,Drift3,3
5,highgain,3.5,2.5,1,Drift4,1
6,highgain,2,2,0,Drift4,2
7,highloss,2.5,1.5,1,Drift2,1
8,lowloss,1.5,2,1,Drift3,4
9,lowgain,3,3,0,Drift1,2
10,highgain,3.5,2.5,1,Drift4,3
11,highloss,3,2,0,Drift2,2
12,highgain,1.5,3,1,Drift4,4
13,lowgain,2.5,2,1,Drift1,3
14,lowloss,3,2,1,Drift3,5
15,highloss,2,2.5,1,Drift2,3
16,lowgain,3,2,1,Drift1,4
17,lowloss,2.5,3,1,Drift3,6
18,lowloss,1.5,2.5,0,Drift3,7
19,highgain,1.5,2.5,1,Drift4,5
20,lowgain,2,3,0,Drift1,5
21,lowgain,2.5,2,1,Drift1,6
22,highgain,1.5,3,1,Drift4,6
23,highloss,2.5,2,0,Drift2,4
24,highgain,1.5,2.5,1,Drift4,7
25,highloss,2.5,2.5,0,Drift2,5
26,highgain,2,2.5,1,Drift4,8
27,highgain,1.5,1.5,0,Drift4,9
28,lowgain,2,1.5,1,Drift1,7
29,highloss,3,2.5,1,Drift2,6
30,lowloss,2.5,3,0,Drift3,8
31,lowgain,3,3,1,Drift1,8
32,lowgain,2.5,2,1,Drift1,9
33,lowloss,2,2,1,Drift3,9
34,lowgain,3,2.5,0,Drift1,10
35,lowgain,2,1.5,1,Drift1,11
36,highloss,3,1.5,1,Drift2,7
37,highgain,1.5,2.5,0,Drift4,10
38,highgain,3,2.5,1,Drift4,11
39,highloss,2.5,3,1,Drift2,8
40,highloss,2.5,2.5,1,Drift2,9
41,lowgain,2,2.5,0,Drift1,12
42,highloss,3,2.5,1,Drift2,10
43,lowgain,1.5,1.5,1,Drift1,13
44,lowloss,3,2.5,1,Drift3,10
45,lowloss,2,2,1,Drift3,11
46,highgain,2,1.5,1,Drift4,12
47,highgain,3,3,0,Drift4,13
48,lowloss,2,2,1,Drift3,12
49,lowgain,2.5,2.5,1,Drift1,14
50,lowloss,1.5,1.5,1,Drift3,13
51,highloss,1.5,2,0,Drift2,11
52,highloss,3,2.5,1,Drift2,12
53,highloss,1.5,2,0,Drift2,13
54,highgain,2,2.5,1,Drift4,14
55,highgain,2.5,1.5,0,Drift4,15
56,highloss,3,2.5,1,Drift2,14
57,lowloss,1.5,1.5,0,Drift3,14
58,highloss,2,2.5,1,Drift2,15
59,lowgain,1.5,3,0,Drift1,15
60,lowloss,2.5,2,0,Drift3,15
