trialOrder,condition,fixationDuration,outcomeDelay,optcorrect,CBDrifts,CondOrder
121,highloss,3.5,2.5,1,Drift1,1
122,highloss,1.5,2.5,1,Drift1,2
123,highgain,3,1.5,1,Drift3,1
124,highloss,2,1.5,1,Drift1,3
125,lowloss,3,1.5,1,Drift2,1
126,lowloss,2.5,2,0,Drift2,2
127,lowgain,2,2,0,Drift4,1
128,highloss,1.5,2,1,Drift1,4
129,highgain,2.5,3,1,Drift3,2
130,lowloss,2.5,2,0,Drift2,3
131,lowgain,3,1.5,1,Drift4,2
132,lowloss,3,1.5,0,Drift2,4
133,highgain,3,1.5,0,Drift3,3
134,highloss,3,2.5,1,Drift1,5
135,lowgain,3,2,1,Drift4,3
136,highgain,2.5,2.5,1,Drift3,4
137,highloss,2,1.5,1,Drift1,6
138,highloss,3,3.5,0,Drift1,7
139,lowloss,2,2,1,Drift2,5
140,highgain,2.5,3,1,Drift3,5
141,highgain,2,3,0,Drift3,6
142,lowloss,1.5,2.5,1,Drift2,6
143,lowgain,2,1.5,1,Drift4,4
144,lowloss,2,1.5,1,Drift2,7
145,lowgain,2.5,1.5,1,Drift4,5
146,lowloss,1.5,3,0,Drift2,8
147,lowloss,2.5,2.5,1,Drift2,9
148,highgain,1.5,2,1,Drift3,7
149,lowgain,3,3,1,Drift4,6
150,highloss,2.5,2.5,1,Drift1,8
151,highgain,3.5,1.5,1,Drift3,8
152,highgain,2.5,1.5,0,Drift3,9
153,highloss,2,2.5,1,Drift1,9
154,highgain,1.5,1.5,1,Drift3,10
155,highgain,2.5,1.5,0,Drift3,11
156,lowgain,2,2,0,Drift4,7
157,lowloss,1.5,3,0,Drift2,10
158,lowloss,2.5,3,1,Drift2,11
159,lowgain,3,1.5,1,Drift4,8
160,lowgain,2,3,0,Drift4,9
161,highgain,3,3,1,Drift3,12
162,lowgain,2.5,2,0,Drift4,10
163,highgain,2,3,1,Drift3,13
164,highloss,2,2.5,0,Drift1,10
165,highloss,2,2.5,0,Drift1,11
166,lowloss,2.5,3,1,Drift2,12
167,lowloss,2.5,2.5,0,Drift2,13
168,highloss,2.5,3.5,1,Drift1,12
169,highgain,3.5,1.5,1,Drift3,14
170,highloss,2.5,3.5,0,Drift1,13
171,lowgain,2.5,3,0,Drift4,11
172,lowgain,1.5,2.5,1,Drift4,12
173,lowgain,2,3,1,Drift4,13
174,lowloss,1.5,2,1,Drift2,14
175,lowloss,3,1.5,1,Drift2,15
176,lowgain,2,3.5,0,Drift4,14
177,highloss,2.5,3,1,Drift1,14
178,lowgain,2.5,2,1,Drift4,15
179,highgain,2,3,1,Drift3,15
180,highloss,2.5,3,1,Drift1,15
