trialOrder,condition,fixationDuration,outcomeDelay,optcorrect,CBDrifts,CondOrder
121,lowloss,3.5,2.5,1,Drift1,1
122,lowloss,1.5,2.5,1,Drift1,2
123,lowgain,3,1.5,1,Drift3,1
124,lowloss,2,1.5,1,Drift1,3
125,highgain,3,1.5,1,Drift2,1
126,highgain,2.5,2,0,Drift2,2
127,highloss,2,2,0,Drift4,1
128,lowloss,1.5,2,1,Drift1,4
129,lowgain,2.5,3,1,Drift3,2
130,highgain,2.5,2,0,Drift2,3
131,highloss,3,1.5,1,Drift4,2
132,highgain,3,1.5,0,Drift2,4
133,lowgain,3,1.5,0,Drift3,3
134,lowloss,3,2.5,1,Drift1,5
135,highloss,3,2,1,Drift4,3
136,lowgain,2.5,2.5,1,Drift3,4
137,lowloss,2,1.5,1,Drift1,6
138,lowloss,3,3.5,0,Drift1,7
139,highgain,2,2,1,Drift2,5
140,lowgain,2.5,3,1,Drift3,5
141,lowgain,2,3,0,Drift3,6
142,highgain,1.5,2.5,1,Drift2,6
143,highloss,2,1.5,1,Drift4,4
144,highgain,2,1.5,1,Drift2,7
145,highloss,2.5,1.5,1,Drift4,5
146,highgain,1.5,3,0,Drift2,8
147,highgain,2.5,2.5,1,Drift2,9
148,lowgain,1.5,2,1,Drift3,7
149,highloss,3,3,1,Drift4,6
150,lowloss,2.5,2.5,1,Drift1,8
151,lowgain,3.5,1.5,1,Drift3,8
152,lowgain,2.5,1.5,0,Drift3,9
153,lowloss,2,2.5,1,Drift1,9
154,lowgain,1.5,1.5,1,Drift3,10
155,lowgain,2.5,1.5,0,Drift3,11
156,highloss,2,2,0,Drift4,7
157,highgain,1.5,3,0,Drift2,10
158,highgain,2.5,3,1,Drift2,11
159,highloss,3,1.5,1,Drift4,8
160,highloss,2,3,0,Drift4,9
161,lowgain,3,3,1,Drift3,12
162,highloss,2.5,2,0,Drift4,10
163,lowgain,2,3,1,Drift3,13
164,lowloss,2,2.5,0,Drift1,10
165,lowloss,2,2.5,0,Drift1,11
166,highgain,2.5,3,1,Drift2,12
167,highgain,2.5,2.5,0,Drift2,13
168,lowloss,2.5,3.5,1,Drift1,12
169,lowgain,3.5,1.5,1,Drift3,14
170,lowloss,2.5,3.5,0,Drift1,13
171,highloss,2.5,3,0,Drift4,11
172,highloss,1.5,2.5,1,Drift4,12
173,highloss,2,3,1,Drift4,13
174,highgain,1.5,2,1,Drift2,14
175,highgain,3,1.5,1,Drift2,15
176,highloss,2,3.5,0,Drift4,14
177,lowloss,2.5,3,1,Drift1,14
178,highloss,2.5,2,1,Drift4,15
179,lowgain,2,3,1,Drift3,15
180,lowloss,2.5,3,1,Drift1,15
