trialOrder,condition,fixationDuration,outcomeDelay,optcorrect,CBDrifts,CondOrder
1,highgain,1,2.5,1,Drift2,12
2,highloss,2,2,1,Drift4,7
3,highloss,1,2,1,Drift4,14
4,lowgain,1,2,1,Drift3,11
5,lowloss,1.5,1.5,1,Drift1,3
6,lowgain,1.5,1.5,1,Drift3,15
7,highgain,2,2.5,0,Drift2,15
8,lowloss,1,1.5,1,Drift1,15
9,lowloss,1.5,2.5,0,Drift1,9
10,lowloss,1.5,2,0,Drift1,12
11,lowgain,1.5,2,1,Drift3,12
12,highgain,1,2,1,Drift2,11
13,highgain,1.5,2,1,Drift2,6
14,lowloss,1.5,1.5,1,Drift1,11
15,lowloss,1,1.5,1,Drift1,6
16,highloss,1,1.5,1,Drift4,3
17,highloss,1,2.5,1,Drift4,8
18,lowgain,1.5,2,1,Drift3,9
19,lowgain,1.5,1.5,1,Drift3,8
20,highloss,2,2.5,1,Drift4,2
21,highloss,1.5,1.5,1,Drift4,12
22,highgain,1,1.5,1,Drift2,5
23,highloss,2,1.5,1,Drift4,13
24,lowgain,1.5,2,1,Drift3,5
25,highgain,1.5,2.5,1,Drift2,10
26,highgain,1.5,1.5,0,Drift2,2
27,lowgain,1,1.5,1,Drift3,6
28,highgain,2,1.5,1,Drift2,7
29,highgain,2,1.5,1,Drift2,13
30,lowgain,1,2,1,Drift3,14
31,highloss,1,1.5,1,Drift4,15
32,highgain,1,2,1,Drift2,3
33,lowgain,1,1.5,1,Drift3,2
34,highloss,2,2,1,Drift4,1
35,lowloss,1,1.5,0,Drift1,8
36,highloss,1,2,1,Drift4,10
37,lowgain,1,2,0,Drift3,1
38,highgain,1,2.5,0,Drift2,9
39,lowloss,1,2,1,Drift1,14
40,lowgain,1,1.5,1,Drift3,7
41,highloss,1,1.5,1,Drift4,9
42,lowgain,1.5,2.5,0,Drift3,13
43,lowloss,1.5,1.5,0,Drift1,7
44,highloss,1.5,2,1,Drift4,6
45,highgain,1.5,2.5,1,Drift2,1
46,highgain,1,1.5,1,Drift2,4
47,lowloss,1,1.5,0,Drift1,2
48,lowgain,1,2.5,1,Drift3,4
49,lowloss,1.5,1.5,1,Drift1,10
50,lowgain,1,1.5,1,Drift3,3
51,lowloss,1.5,2,1,Drift1,1
52,highgain,1,2,0,Drift2,14
53,lowloss,1,1.5,1,Drift1,4
54,highloss,1,1.5,1,Drift4,4
55,lowloss,1,1.5,1,Drift1,13
56,lowgain,2,1.5,0,Drift3,10
57,lowloss,2,1.5,1,Drift1,5
58,highgain,2,2,0,Drift2,8
59,highloss,1,1.5,1,Drift4,11
74,highloss,1.5,2,1,Drift4,5
