thisN,thisTrialN,thisRepN,Trials,leftImgPath,rightImgPath,PracCorrectScan,PracCorrectPilot,advanceScreenPress2.keys,advanceScreenPress2.rt,advanceScreenPress2.duration,pracRespPress.keys,key_resp.keys,key_resp.rt,key_resp.duration,pracResp.keys,pracResp.corr,pracResp.rt,pracResp.duration,advanceScreenPress3.keys,advanceScreenPress3.rt,advanceScreenPress3.duration,advanceScreen4.keys,advanceScreen4.rt,advanceScreen4.duration,Runs,trialOrder,condition,fixationDuration,outcomeDelay,optcorrect,CBDrifts,CondOrder,advanceToTrigger.keys,advanceToTrigger.rt,advanceToTrigger.duration,scannerTriggerKey.keys,optimalImg,suboptimalImg,optimalSide,suboptimalSide,optimalResponse,suboptimalResponse,leftImage,rightImage,startFixOnTime,cueOnTime,responseTime,optedSide,optedImg,cueOffTime,cueResp.keys,cueResp.corr,cueResp.rt,cueResp.duration,optedFor,accuracy,outcome,Feedback,gainLossAmount,runningBankTotal,feedbackTime,feedbackOffTime,fixationTime,advanceScreenPress_2.keys,advanceScreenPress_2.rt,advanceScreenPress_2.duration,pracBlock.thisRepN,pracBlock.thisTrialN,pracBlock.thisN,pracBlock.thisIndex,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,runOffTime,thisRow.t,notes,introDir.started,pracDirText.started,advanceScreenPress.started,introDir.stopped,advanceScreenPress.keys,advanceScreenPress.rt,advanceScreenPress.duration,pracDir1.started,choiceDirText.started,advanceScreenPress2.started,prac2Image.started,prac1Image.started,pracRespPress.started,pracDir1.stopped,pracBlock.advanceScreenPress2.keys,pracBlock.advanceScreenPress2.rt,pracBlock.advanceScreenPress2.duration,pracBlock.pracRespPress.keys,pracDir2.started,fixDirText.started,key_resp.started,pracDir2.stopped,pracBlock.key_resp.keys,pracBlock.key_resp.rt,pracBlock.key_resp.duration,pracCue.started,pracLeftImg.started,pracRightImg.started,pracResp.started,pracCue.stopped,practice.pracResp.keys,practice.pracResp.corr,practice.pracResp.rt,practice.pracResp.duration,pracJitter.started,pracFix.started,pracJitter.stopped,pracOut.started,pracOutText.started,pracOutFix.started,pracOutText.stopped,pracOutFix.stopped,pracOut.stopped,pracLeftImg.stopped,pracRightImg.stopped,pracResp.stopped,pracFix.stopped,gainDirs.started,advanceScreenPress3.started,gainDirText.started,highgainframe.started,lowgainframe.started,highgainTopLabel.started,lowgainTopLabel.started,highgainBottomLabel.started,lowgainBottomLabel.started,highGainLabel.started,lowGainLabel.started,gainDirs.stopped,pracBlock.advanceScreenPress3.keys,pracBlock.advanceScreenPress3.rt,pracBlock.advanceScreenPress3.duration,lossDirs.started,advanceScreen4.started,lossDirText.started,highLossFrame.started,lowLossFrame.started,highLossTopLabel.started,lowLossTopLabel.started,highLossBottomLabel.started,lowLossBottomLabel.started,highLossLabel.started,lowLossLabel.started,lossDirs.stopped,pracBlock.advanceScreen4.keys,pracBlock.advanceScreen4.rt,pracBlock.advanceScreen4.duration,summaryDirections.started,summary.started,advanceScreenPress4.started,summaryDirections.stopped,advanceScreenPress4.keys,advanceScreenPress4.rt,advanceScreenPress4.duration,getReady.started,getReadyText.started,advanceToTrigger.started,getReady.stopped,runs.advanceToTrigger.keys,runs.advanceToTrigger.rt,runs.advanceToTrigger.duration,waitForScanner.started,waitForScanner.stopped,runs.scannerTriggerKey.keys,trials.optimalImg,trials.suboptimalImg,trials.optimalSide,trials.suboptimalSide,trials.optimalResponse,trials.suboptimalResponse,trials.leftImage,trials.rightImage,trials.startFixOnTime,cue.started,startFixStatic.started,frame1.started,staticISI.started,startFixStatic.stopped,leftCue.started,rightCue.started,cueResp.started,topFrameText.started,bottomFrameText.started,trials.cueOnTime,trials.responseTime,cue.stopped,trials.optedSide,trials.optedImg,trials.cueOffTime,trials.cueResp.keys,trials.cueResp.corr,trials.cueResp.rt,trials.cueResp.duration,outcomeDelayRoutine.started,frame1Fix.started,outcomeDelayFix.started,topFrameTextFix.started,bottomFrameTextFix.started,frame1Fix.stopped,outcomeDelayFix.stopped,topFrameTextFix.stopped,bottomFrameTextFix.stopped,outcomeDelayRoutine.stopped,trials.optedFor,trials.accuracy,trials.outcome,trials.Feedback,trials.gainLossAmount,trials.runningBankTotal,trials.feedbackTime,outcomeRoutine.started,outcomeText.started,frameOut.started,topFrameTextOut.started,bottomFrameTextOut.started,outcomeRoutine.stopped,trials.feedbackOffTime,trials.fixationTime,fixation.started,fixationCrosshair.started,frameFix.started,fixationCrosshair.stopped,frameFix.stopped,fixation.stopped,outcomeText.stopped,frameOut.stopped,topFrameTextOut.stopped,bottomFrameTextOut.stopped,frame1.stopped,leftCue.stopped,rightCue.stopped,cueResp.stopped,topFrameText.stopped,bottomFrameText.stopped,trials.runOffTime,breakScreen.started,breakText.started,advanceScreenPress_2.started,breakScreen.stopped,runs.advanceScreenPress_2.keys,runs.advanceScreenPress_2.rt,runs.advanceScreenPress_2.duration,getReadyText.stopped,done.started,endExperiment.started,endTaskPress.started,done.stopped,endTaskPress.keys,endTaskPress.rt,endTaskPress.duration,participant,session,startFromRun,mode,practice,date,expName,psychopyVersion,frameRate,cuePairs,expStartTime,expStart,bank,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01978383300593123,0.038662916980683804,0.038662916980683804,25.390815957973246,space,25.3082307499717,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot-1,ses-1,1,pilot,yes,2025-05-14_12h46.24.751,reward_learning_multises,2024.2.4,None,"{'highgain': {'optimalChoice': 'set1_7.png', 'suboptimalChoice': 'set1_8.png'}, 'lowgain': {'optimalChoice': 'set1_1.png', 'suboptimalChoice': 'set1_2.png'}, 'highloss': {'optimalChoice': 'set1_3.png', 'suboptimalChoice': 'set1_4.png'}, 'lowloss': {'optimalChoice': 'set1_5.png', 'suboptimalChoice': 'set1_6.png'}}",Wed May 14 12:47:22 2025,2025-05-14 12h47.22.051003 -0500,,
0,0,0,1,images/prac1.png,images/prac2.png,1,left,space,14.717116374988109,None,None,space,3.5123101249919273,None,left,0,0.8494475419865921,0.10617954103508964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,43.729094374983106,,,,,,,,,25.393054124957416,25.428635041986126,25.428635041986126,25.428635041986126,25.428635041986126,25.428635041986126,40.14970616699429,space,14.717116374988109,None,None,40.14980849996209,40.17534999997588,40.17534999997588,43.70046095800353,space,3.5123101249919273,None,43.722966166969854,43.729094374983106,43.729094374983106,43.729094374983106,46.209465124993585,left,0,0.8494475419865921,0.10617954103508964,46.20973266696092,46.282019207952544,48.72009383299155,48.7284994169604,48.73645475000376,49.698010082996916,49.73863079195144,51.20946654200088,51.18097962497268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot-1,ses-1,1,pilot,yes,2025-05-14_12h46.24.751,reward_learning_multises,2024.2.4,None,"{'highgain': {'optimalChoice': 'set1_7.png', 'suboptimalChoice': 'set1_8.png'}, 'lowgain': {'optimalChoice': 'set1_1.png', 'suboptimalChoice': 'set1_2.png'}, 'highloss': {'optimalChoice': 'set1_3.png', 'suboptimalChoice': 'set1_4.png'}, 'lowloss': {'optimalChoice': 'set1_5.png', 'suboptimalChoice': 'set1_6.png'}}",Wed May 14 12:47:22 2025,2025-05-14 12h47.22.051003 -0500,,
1,1,0,2,images/prac1.png,images/prac2.png,1,left,space,14.717116374988109,None,None,space,3.5123101249919273,None,left,0,0.9364820419577882,0.0705718329991214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,51.20946654200088,,,,,,,,,,,,,,,,,,,,,,,,,,,51.18937970796833,51.21684208296938,51.21684208296938,51.21684208296938,53.705810332961846,left,0,0.9364820419577882,0.0705718329991214,53.70599720795872,53.72257124999305,56.22166791697964,56.221738416992594,56.23428387497552,57.20458212500671,57.23876099998597,58.703553374973126,58.69114404200809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot-1,ses-1,1,pilot,yes,2025-05-14_12h46.24.751,reward_learning_multises,2024.2.4,None,"{'highgain': {'optimalChoice': 'set1_7.png', 'suboptimalChoice': 'set1_8.png'}, 'lowgain': {'optimalChoice': 'set1_1.png', 'suboptimalChoice': 'set1_2.png'}, 'highloss': {'optimalChoice': 'set1_3.png', 'suboptimalChoice': 'set1_4.png'}, 'lowloss': {'optimalChoice': 'set1_5.png', 'suboptimalChoice': 'set1_6.png'}}",Wed May 14 12:47:22 2025,2025-05-14 12h47.22.051003 -0500,,
2,2,0,3,images/prac2.png,images/prac1.png,2,right,space,14.717116374988109,None,None,space,3.5123101249919273,None,right,0,0.6296917090076022,0.11439050000626594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,58.703553374973126,,,,,,,,,,,,,,,,,,,,,,,,,,,58.69743837497663,58.703553374973126,58.703553374973126,58.703553374973126,61.18761729198741,right,0,0.6296917090076022,0.11439050000626594,61.187851707974914,61.203054999990854,63.68721020797966,63.68733154196525,63.70418954198249,64.69778829196002,64.69778829196002,66.19800162495812,66.18330954195699,61.203054999990854,61.203054999990854,61.203054999990854,63.70418954198249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot-1,ses-1,1,pilot,yes,2025-05-14_12h46.24.751,reward_learning_multises,2024.2.4,None,"{'highgain': {'optimalChoice': 'set1_7.png', 'suboptimalChoice': 'set1_8.png'}, 'lowgain': {'optimalChoice': 'set1_1.png', 'suboptimalChoice': 'set1_2.png'}, 'highloss': {'optimalChoice': 'set1_3.png', 'suboptimalChoice': 'set1_4.png'}, 'lowloss': {'optimalChoice': 'set1_5.png', 'suboptimalChoice': 'set1_6.png'}}",Wed May 14 12:47:22 2025,2025-05-14 12h47.22.051003 -0500,,
3,3,0,4,images/prac2.png,images/prac1.png,1,left,space,14.717116374988109,None,None,space,3.5123101249919273,None,right,0,0.5051294169970788,0.1403629580163397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,66.19800162495812,,,,,,,,,,,,,,,,,,,,,,,,,,,66.19218370795716,66.21644554199884,66.21644554199884,66.21644554199884,68.70617262495216,right,0,0.5051294169970788,0.1403629580163397,68.70640920795267,68.71460499998648,71.20601475000149,71.21183433296392,71.21879604196874,72.19933258299716,72.21575291699264,73.70525787497172,73.68690425000386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot-1,ses-1,1,pilot,yes,2025-05-14_12h46.24.751,reward_learning_multises,2024.2.4,None,"{'highgain': {'optimalChoice': 'set1_7.png', 'suboptimalChoice': 'set1_8.png'}, 'lowgain': {'optimalChoice': 'set1_1.png', 'suboptimalChoice': 'set1_2.png'}, 'highloss': {'optimalChoice': 'set1_3.png', 'suboptimalChoice': 'set1_4.png'}, 'lowloss': {'optimalChoice': 'set1_5.png', 'suboptimalChoice': 'set1_6.png'}}",Wed May 14 12:47:22 2025,2025-05-14 12h47.22.051003 -0500,,
4,4,0,5,images/prac1.png,images/prac2.png,1,left,space,14.717116374988109,None,None,space,3.5123101249919273,None,left,0,0.6677016249741428,0.15589225001167506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,73.70525787497172,,,,,,,,,,,,,,,,,,,,,,,,,,,73.69789570797002,73.70525787497172,73.70525787497172,73.70525787497172,76.20384779199958,left,0,0.6677016249741428,0.15589225001167506,76.204070125008,76.22009575000266,78.70153158297762,78.70612041698769,78.71401437500026,79.70326137496158,79.71926283300854,,81.20141045795754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot-1,ses-1,1,pilot,yes,2025-05-14_12h46.24.751,reward_learning_multises,2024.2.4,None,"{'highgain': {'optimalChoice': 'set1_7.png', 'suboptimalChoice': 'set1_8.png'}, 'lowgain': {'optimalChoice': 'set1_1.png', 'suboptimalChoice': 'set1_2.png'}, 'highloss': {'optimalChoice': 'set1_3.png', 'suboptimalChoice': 'set1_4.png'}, 'lowloss': {'optimalChoice': 'set1_5.png', 'suboptimalChoice': 'set1_6.png'}}",Wed May 14 12:47:22 2025,2025-05-14 12h47.22.051003 -0500,,
0,0,0,,,,,,space,14.717116374988109,None,None,space,3.5123101249919273,None,,,,,space,16.022167125018314,None,space,0.8265434170025401,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.20759162498871,81.23932875000173,81.23932875000173,81.23932875000173,81.23932875000173,81.23932875000173,81.23932875000173,81.23932875000173,81.23932875000173,81.23932875000173,81.23932875000173,97.27265016699675,space,16.022167125018314,None,97.27379395795288,97.30585025000619,97.30585025000619,97.30585025000619,97.30585025000619,97.30585025000619,97.30585025000619,97.30585025000619,97.30585025000619,97.30585025000619,97.30585025000619,98.13441050000256,space,0.8265434170025401,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot-1,ses-1,1,pilot,yes,2025-05-14_12h46.24.751,reward_learning_multises,2024.2.4,None,"{'highgain': {'optimalChoice': 'set1_7.png', 'suboptimalChoice': 'set1_8.png'}, 'lowgain': {'optimalChoice': 'set1_1.png', 'suboptimalChoice': 'set1_2.png'}, 'highloss': {'optimalChoice': 'set1_3.png', 'suboptimalChoice': 'set1_4.png'}, 'lowloss': {'optimalChoice': 'set1_5.png', 'suboptimalChoice': 'set1_6.png'}}",Wed May 14 12:47:22 2025,2025-05-14 12h47.22.051003 -0500,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.13458600000013,98.16010562499287,98.16010562499287,112.13900574995205,space,13.975034457980655,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot-1,ses-1,1,pilot,yes,2025-05-14_12h46.24.751,reward_learning_multises,2024.2.4,None,"{'highgain': {'optimalChoice': 'set1_7.png', 'suboptimalChoice': 'set1_8.png'}, 'lowgain': {'optimalChoice': 'set1_1.png', 'suboptimalChoice': 'set1_2.png'}, 'highloss': {'optimalChoice': 'set1_3.png', 'suboptimalChoice': 'set1_4.png'}, 'lowloss': {'optimalChoice': 'set1_5.png', 'suboptimalChoice': 'set1_6.png'}}",Wed May 14 12:47:22 2025,2025-05-14 12h47.22.051003 -0500,,
0,0,0,,,,,,,,,,,,,,,,,,,,,,,Run1,1,lowloss,1.5,2.5,1,Drift3,1,space,1.0996686249854974,None,None,set1_5.png,set1_6.png,left,right,left,right,stimuli_sets/set1_5.png,stimuli_sets/set1_6.png,0.032189125020522624,0.5489886249997653,1.1261105420417152,left,stimuli_sets/set1_5.png,3.009184583032038,left,1,0.5628037500428036,0.09236991597572342,optimal,1,True,1,0,0,5.511676583031658,6.517671958019491,6.517721792042721,,,,,,,,,,,,0,0,0,0,0,0,0,0,,113.31852958298987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.15035462495871,112.16100495797582,112.16100495797582,113.27163220796501,space,1.0996686249854974,None,113.27181504195323,113.27186554198852,None,set1_5.png,set1_6.png,left,right,left,right,stimuli_sets/set1_5.png,stimuli_sets/set1_6.png,0.032189125020522624,113.30698074999964,113.31852958298987,113.31852958298987,0.03512966597918421,113.82057574996725,113.82057574996725,113.82057574996725,113.82057574996725,113.82057574996725,113.82057574996725,0.5489886249997653,1.1261105420417152,116.28098845796194,left,stimuli_sets/set1_5.png,3.009184583032038,left,1,0.5628037500428036,0.09236991597572342,116.28648779197829,116.2988767499919,116.2988767499919,116.2988767499919,116.2988767499919,118.7974880419788,118.7974880419788,118.7974880419788,118.7974880419788,118.783437917009,optimal,1,True,1,0,0,5.511676583031658,118.79040145798353,118.7974880419788,118.7974880419788,118.7974880419788,118.7974880419788,119.78949412499787,6.517671958019491,6.517721792042721,119.78962933295406,119.8013406249811,119.8013406249811,121.30340674996842,121.30340674996842,121.2865591669688,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot-1,ses-1,1,pilot,yes,2025-05-14_12h46.24.751,reward_learning_multises,2024.2.4,None,"{'highgain': {'optimalChoice': 'set1_7.png', 'suboptimalChoice': 'set1_8.png'}, 'lowgain': {'optimalChoice': 'set1_1.png', 'suboptimalChoice': 'set1_2.png'}, 'highloss': {'optimalChoice': 'set1_3.png', 'suboptimalChoice': 'set1_4.png'}, 'lowloss': {'optimalChoice': 'set1_5.png', 'suboptimalChoice': 'set1_6.png'}}",Wed May 14 12:47:22 2025,2025-05-14 12h47.22.051003 -0500,0,
1,1,0,,,,,,,,,,,,,,,,,,,,,,,Run1,2,lowloss,1.0,2.0,0,Drift3,2,space,1.0996686249854974,None,None,set1_5.png,set1_6.png,left,right,left,right,stimuli_sets/set1_5.png,stimuli_sets/set1_6.png,8.01618612499442,8.528143708012067,9.09704912500456,left,stimuli_sets/set1_5.png,11.016588292026427,left,1,0.5449307080125436,0.06827266700565815,optimal,1,False,0,-0.25,-0.25,13.019133208028506,14.017516167019494,14.017587500042282,,,,,,,,,,,,0,0,0,0,0,1,1,1,,121.30340674996842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,set1_5.png,set1_6.png,left,right,left,right,stimuli_sets/set1_5.png,stimuli_sets/set1_6.png,8.01618612499442,121.28814629197586,121.30340674996842,121.30340674996842,0.0015508750220760703,121.79980766697554,121.79980766697554,121.79980766697554,121.79980766697554,121.79980766697554,121.79980766697554,8.528143708012067,9.09704912500456,124.2883974169963,left,stimuli_sets/set1_5.png,11.016588292026427,left,1,0.5449307080125436,0.06827266700565815,124.28858733299421,124.3057956249686,124.3057956249686,124.3057956249686,124.3057956249686,126.3028736669803,126.3028736669803,126.3028736669803,126.3028736669803,126.29087533295387,optimal,1,False,0,-0.25,-0.25,13.019133208028506,126.29519524995703,126.3028736669803,126.3028736669803,126.3028736669803,126.3028736669803,127.28934270795435,14.017516167019494,14.017587500042282,127.28951658296864,127.29718991700793,127.29718991700793,128.30604033300187,128.30604033300187,128.2897130419733,127.29718991700793,127.29718991700793,127.29718991700793,127.29718991700793,,,,,,,,,,,,,,,,,,,,,,,pilot-1,ses-1,1,pilot,yes,2025-05-14_12h46.24.751,reward_learning_multises,2024.2.4,None,"{'highgain': {'optimalChoice': 'set1_7.png', 'suboptimalChoice': 'set1_8.png'}, 'lowgain': {'optimalChoice': 'set1_1.png', 'suboptimalChoice': 'set1_2.png'}, 'highloss': {'optimalChoice': 'set1_3.png', 'suboptimalChoice': 'set1_4.png'}, 'lowloss': {'optimalChoice': 'set1_5.png', 'suboptimalChoice': 'set1_6.png'}}",Wed May 14 12:47:22 2025,2025-05-14 12h47.22.051003 -0500,-0.25,
