thisN,thisTrialN,thisRepN,Trials,leftImgPath,rightImgPath,PracCorrectScan,PracCorrectPilot,advanceScreenPress2.keys,advanceScreenPress2.rt,advanceScreenPress2.duration,pracRespPress.keys,key_resp.keys,key_resp.rt,key_resp.duration,pracResp.keys,pracResp.corr,pracResp.rt,pracResp.duration,advanceScreenPress3.keys,advanceScreenPress3.rt,advanceScreenPress3.duration,advanceScreen4.keys,advanceScreen4.rt,advanceScreen4.duration,Runs,trialOrder,condition,fixationDuration,outcomeDelay,optcorrect,CBDrifts,CondOrder,advanceToTrigger.keys,advanceToTrigger.rt,advanceToTrigger.duration,scannerTriggerKey.keys,optimalImg,suboptimalImg,optimalSide,suboptimalSide,optimalResponse,suboptimalResponse,leftImage,rightImage,startFixOnTime,cueOnTime,responseTime,optedSide,optedImg,cueOffTime,cueResp.keys,cueResp.corr,cueResp.rt,cueResp.duration,optedFor,accuracy,outcome,Feedback,gainLossAmount,runningBankTotal,feedbackTime,feedbackOffTime,fixationTime,advanceScreenPress_2.keys,advanceScreenPress_2.rt,advanceScreenPress_2.duration,pracBlock.thisRepN,pracBlock.thisTrialN,pracBlock.thisN,pracBlock.thisIndex,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,runOffTime,thisRow.t,notes,introDir.started,pracDirText.started,advanceScreenPress.started,introDir.stopped,advanceScreenPress.keys,advanceScreenPress.rt,advanceScreenPress.duration,pracDir1.started,choiceDirText.started,advanceScreenPress2.started,prac2Image.started,prac1Image.started,pracRespPress.started,pracDir1.stopped,pracBlock.advanceScreenPress2.keys,pracBlock.advanceScreenPress2.rt,pracBlock.advanceScreenPress2.duration,pracBlock.pracRespPress.keys,pracDir2.started,fixDirText.started,key_resp.started,pracDir2.stopped,pracBlock.key_resp.keys,pracBlock.key_resp.rt,pracBlock.key_resp.duration,pracCue.started,pracLeftImg.started,pracRightImg.started,pracResp.started,pracCue.stopped,practice.pracResp.keys,practice.pracResp.corr,practice.pracResp.rt,practice.pracResp.duration,pracJitter.started,pracFix.started,pracFix.stopped,pracJitter.stopped,pracOut.started,pracOutText.started,pracOutFix.started,pracOutText.stopped,pracOutFix.stopped,pracOut.stopped,pracLeftImg.stopped,pracRightImg.stopped,pracResp.stopped,gainDirs.started,advanceScreenPress3.started,gainDirText.started,highgainframe.started,lowgainframe.started,highgainTopLabel.started,lowgainTopLabel.started,highgainBottomLabel.started,lowgainBottomLabel.started,highGainLabel.started,lowGainLabel.started,gainDirs.stopped,pracBlock.advanceScreenPress3.keys,pracBlock.advanceScreenPress3.rt,pracBlock.advanceScreenPress3.duration,lossDirs.started,advanceScreen4.started,lossDirText.started,highLossFrame.started,lowLossFrame.started,highLossTopLabel.started,lowLossTopLabel.started,highLossBottomLabel.started,lowLossBottomLabel.started,highLossLabel.started,lowLossLabel.started,lossDirs.stopped,pracBlock.advanceScreen4.keys,pracBlock.advanceScreen4.rt,pracBlock.advanceScreen4.duration,summaryDirections.started,summary.started,advanceScreenPress4.started,summaryDirections.stopped,advanceScreenPress4.keys,advanceScreenPress4.rt,advanceScreenPress4.duration,getReady.started,getReadyText.started,advanceToTrigger.started,getReady.stopped,runs.advanceToTrigger.keys,runs.advanceToTrigger.rt,runs.advanceToTrigger.duration,waitForScanner.started,waitForScanner.stopped,runs.scannerTriggerKey.keys,trials.optimalImg,trials.suboptimalImg,trials.optimalSide,trials.suboptimalSide,trials.optimalResponse,trials.suboptimalResponse,trials.leftImage,trials.rightImage,trials.startFixOnTime,cue.started,startFixStatic.started,frame1.started,staticISI.started,startFixStatic.stopped,leftCue.started,rightCue.started,cueResp.started,topFrameText.started,bottomFrameText.started,trials.cueOnTime,trials.responseTime,cue.stopped,trials.optedSide,trials.optedImg,trials.cueOffTime,trials.cueResp.keys,trials.cueResp.corr,trials.cueResp.rt,trials.cueResp.duration,outcomeDelayRoutine.started,frame1Fix.started,outcomeDelayFix.started,topFrameTextFix.started,bottomFrameTextFix.started,frame1Fix.stopped,outcomeDelayFix.stopped,topFrameTextFix.stopped,bottomFrameTextFix.stopped,outcomeDelayRoutine.stopped,trials.optedFor,trials.accuracy,trials.outcome,trials.Feedback,trials.gainLossAmount,trials.runningBankTotal,trials.feedbackTime,outcomeRoutine.started,outcomeText.started,frameOut.started,topFrameTextOut.started,bottomFrameTextOut.started,outcomeText.stopped,frameOut.stopped,topFrameTextOut.stopped,bottomFrameTextOut.stopped,outcomeRoutine.stopped,trials.feedbackOffTime,trials.fixationTime,fixation.started,fixationCrosshair.started,frameFix.started,fixationCrosshair.stopped,frameFix.stopped,fixation.stopped,frame1.stopped,leftCue.stopped,rightCue.stopped,cueResp.stopped,topFrameText.stopped,bottomFrameText.stopped,trials.runOffTime,breakScreen.started,breakText.started,advanceScreenPress_2.started,breakScreen.stopped,runs.advanceScreenPress_2.keys,runs.advanceScreenPress_2.rt,runs.advanceScreenPress_2.duration,done.started,endExperiment.started,endTaskPress.started,done.stopped,endTaskPress.keys,endTaskPress.rt,endTaskPress.duration,participant,session,startFromRun,mode,practice,date,expName,psychopyVersion,frameRate,cuePairs,expStartTime,expStart,bank,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0116409579932224,0.01846649998333305,0.01846649998333305,3.9269288330106065,space,3.88576354199904,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot-3,ses-1,1,pilot,yes,2025-05-09_17h12.13.355,reward_learning_multises,2024.2.4,None,"{'highgain': {'optimalChoice': 'set3_3.png', 'suboptimalChoice': 'set3_4.png'}, 'lowgain': {'optimalChoice': 'set3_5.png', 'suboptimalChoice': 'set3_6.png'}, 'highloss': {'optimalChoice': 'set3_7.png', 'suboptimalChoice': 'set3_8.png'}, 'lowloss': {'optimalChoice': 'set3_1.png', 'suboptimalChoice': 'set3_2.png'}}",Fri May  9 17:12:28 2025,2025-05-09 17h12.28.467862 -0500,,
0,0,0,1,images/prac1.png,images/prac2.png,1,left,space,0.5544649169896729,None,None,space,0.4048344999901019,None,left,0,1.7432641659979708,0.15790787499281578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,4.931683458009502,,,,,,,,,3.9276084169978276,3.9398257920111064,3.9398257920111064,3.9398257920111064,3.9398257920111064,3.9398257920111064,4.499451374984346,space,0.5544649169896729,None,None,4.499507333006477,4.506997332995525,4.506997332995525,4.9162690000084694,space,0.4048344999901019,None,4.9278216249949764,4.931683458009502,4.931683458009502,4.931683458009502,7.417881375004072,left,0,1.7432641659979708,0.15790787499281578,7.418008000007831,7.429810458008433,9.92027854200569,9.915216875000624,9.917931750009302,9.92027854200569,10.913172458007466,10.916255041986005,12.403634416987188,12.398303708003368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot-3,ses-1,1,pilot,yes,2025-05-09_17h12.13.355,reward_learning_multises,2024.2.4,None,"{'highgain': {'optimalChoice': 'set3_3.png', 'suboptimalChoice': 'set3_4.png'}, 'lowgain': {'optimalChoice': 'set3_5.png', 'suboptimalChoice': 'set3_6.png'}, 'highloss': {'optimalChoice': 'set3_7.png', 'suboptimalChoice': 'set3_8.png'}, 'lowloss': {'optimalChoice': 'set3_1.png', 'suboptimalChoice': 'set3_2.png'}}",Fri May  9 17:12:28 2025,2025-05-09 17h12.28.467862 -0500,,
1,1,0,2,images/prac1.png,images/prac2.png,1,left,space,0.5544649169896729,None,None,space,0.4048344999901019,None,right,0,1.2365871660003904,0.03500854200683534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,12.403634416987188,,,,,,,,,,,,,,,,,,,,,,,,,,,12.402033666992793,12.413181457988685,12.413181457988685,12.413181457988685,14.898208875005366,right,0,1.2365871660003904,0.03500854200683534,14.898286124982405,14.913192375010112,17.40132345800521,17.3982984169852,17.39963537498261,17.41322108299937,18.41294658300467,18.399482000007993,19.904784999991534,19.898347332986305,14.899653375003254,14.899653375003254,14.899653375003254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot-3,ses-1,1,pilot,yes,2025-05-09_17h12.13.355,reward_learning_multises,2024.2.4,None,"{'highgain': {'optimalChoice': 'set3_3.png', 'suboptimalChoice': 'set3_4.png'}, 'lowgain': {'optimalChoice': 'set3_5.png', 'suboptimalChoice': 'set3_6.png'}, 'highloss': {'optimalChoice': 'set3_7.png', 'suboptimalChoice': 'set3_8.png'}, 'lowloss': {'optimalChoice': 'set3_1.png', 'suboptimalChoice': 'set3_2.png'}}",Fri May  9 17:12:28 2025,2025-05-09 17h12.28.467862 -0500,,
2,2,0,3,images/prac2.png,images/prac1.png,2,right,space,0.5544649169896729,None,None,space,0.4048344999901019,None,left,0,0.9877896659891121,0.12771404199884273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,19.904784999991534,,,,,,,,,,,,,,,,,,,,,,,,,,,19.903244166984223,19.913190541992662,19.913190541992662,19.913190541992662,22.398576582985697,left,0,0.9877896659891121,0.12771404199884273,22.39865699998336,22.413219957990805,24.900132457987638,24.898698750010226,24.89873237500433,24.91317779198289,25.91324712499045,25.899881166988052,27.403651750006247,27.398536791995866,22.39997491700342,22.39997491700342,22.39997491700342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot-3,ses-1,1,pilot,yes,2025-05-09_17h12.13.355,reward_learning_multises,2024.2.4,None,"{'highgain': {'optimalChoice': 'set3_3.png', 'suboptimalChoice': 'set3_4.png'}, 'lowgain': {'optimalChoice': 'set3_5.png', 'suboptimalChoice': 'set3_6.png'}, 'highloss': {'optimalChoice': 'set3_7.png', 'suboptimalChoice': 'set3_8.png'}, 'lowloss': {'optimalChoice': 'set3_1.png', 'suboptimalChoice': 'set3_2.png'}}",Fri May  9 17:12:28 2025,2025-05-09 17h12.28.467862 -0500,,
3,3,0,4,images/prac2.png,images/prac1.png,1,left,space,0.5544649169896729,None,None,space,0.4048344999901019,None,left,0,0.4533033749903552,0.17395387499709614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,27.403651750006247,,,,,,,,,,,,,,,,,,,,,,,,,,,27.4021565830044,27.41322454198962,27.41322454198962,27.41322454198962,29.898788332997356,left,0,0.4533033749903552,0.17395387499709614,29.898867292009527,29.91315554198809,32.40125799999805,32.398166500002844,32.39958858300815,32.41325329200481,33.41303341698949,33.39960054200492,34.904093499993905,34.8984689170029,29.900406833010493,29.900406833010493,29.900406833010493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot-3,ses-1,1,pilot,yes,2025-05-09_17h12.13.355,reward_learning_multises,2024.2.4,None,"{'highgain': {'optimalChoice': 'set3_3.png', 'suboptimalChoice': 'set3_4.png'}, 'lowgain': {'optimalChoice': 'set3_5.png', 'suboptimalChoice': 'set3_6.png'}, 'highloss': {'optimalChoice': 'set3_7.png', 'suboptimalChoice': 'set3_8.png'}, 'lowloss': {'optimalChoice': 'set3_1.png', 'suboptimalChoice': 'set3_2.png'}}",Fri May  9 17:12:28 2025,2025-05-09 17h12.28.467862 -0500,,
4,4,0,5,images/prac1.png,images/prac2.png,1,left,space,0.5544649169896729,None,None,space,0.4048344999901019,None,right,0,1.2094670409860555,0.09473133401479572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,34.904093499993905,,,,,,,,,,,,,,,,,,,,,,,,,,,34.90240295798867,34.9132264170039,34.9132264170039,34.9132264170039,37.39852641700418,right,0,1.2094670409860555,0.09473133401479572,37.398610582982656,37.41328429200803,39.90209162500105,39.898756582988426,39.90026387499529,39.913239207991865,40.91329999998561,40.89988983300282,42.40163895799196,42.39848324999912,37.39995716698468,37.39995716698468,37.39995716698468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot-3,ses-1,1,pilot,yes,2025-05-09_17h12.13.355,reward_learning_multises,2024.2.4,None,"{'highgain': {'optimalChoice': 'set3_3.png', 'suboptimalChoice': 'set3_4.png'}, 'lowgain': {'optimalChoice': 'set3_5.png', 'suboptimalChoice': 'set3_6.png'}, 'highloss': {'optimalChoice': 'set3_7.png', 'suboptimalChoice': 'set3_8.png'}, 'lowloss': {'optimalChoice': 'set3_1.png', 'suboptimalChoice': 'set3_2.png'}}",Fri May  9 17:12:28 2025,2025-05-09 17h12.28.467862 -0500,,
0,0,0,,,,,,space,0.5544649169896729,None,None,space,0.4048344999901019,None,,,,,space,4.0176603340078145,None,space,0.32830600001034327,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.39990029198816,42.41852700000163,42.41852700000163,42.41852700000163,42.41852700000163,42.41852700000163,42.41852700000163,42.41852700000163,42.41852700000163,42.41852700000163,42.41852700000163,46.44988104200456,space,4.0176603340078145,None,46.45026687500649,46.466117208008654,46.466117208008654,46.466117208008654,46.466117208008654,46.466117208008654,46.466117208008654,46.466117208008654,46.466117208008654,46.466117208008654,46.466117208008654,46.799122583004646,space,0.32830600001034327,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot-3,ses-1,1,pilot,yes,2025-05-09_17h12.13.355,reward_learning_multises,2024.2.4,None,"{'highgain': {'optimalChoice': 'set3_3.png', 'suboptimalChoice': 'set3_4.png'}, 'lowgain': {'optimalChoice': 'set3_5.png', 'suboptimalChoice': 'set3_6.png'}, 'highloss': {'optimalChoice': 'set3_7.png', 'suboptimalChoice': 'set3_8.png'}, 'lowloss': {'optimalChoice': 'set3_1.png', 'suboptimalChoice': 'set3_2.png'}}",Fri May  9 17:12:28 2025,2025-05-09 17h12.28.467862 -0500,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.799221374996705,46.81498175000888,46.81498175000888,47.41977162499097,space,0.6028374590096064,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot-3,ses-1,1,pilot,yes,2025-05-09_17h12.13.355,reward_learning_multises,2024.2.4,None,"{'highgain': {'optimalChoice': 'set3_3.png', 'suboptimalChoice': 'set3_4.png'}, 'lowgain': {'optimalChoice': 'set3_5.png', 'suboptimalChoice': 'set3_6.png'}, 'highloss': {'optimalChoice': 'set3_7.png', 'suboptimalChoice': 'set3_8.png'}, 'lowloss': {'optimalChoice': 'set3_1.png', 'suboptimalChoice': 'set3_2.png'}}",Fri May  9 17:12:28 2025,2025-05-09 17h12.28.467862 -0500,,
0,0,0,,,,,,,,,,,,,,,,,,,,,,,Run1,1,lowgain,1.5,2.5,1,Drift3,1,space,0.613542208011495,None,None,set3_5.png,set3_6.png,right,left,right,left,stimuli_sets/set3_6.png,stimuli_sets/set3_5.png,0.007818416022928432,0.5194931660080329,1.1715328330174088,left,stimuli_sets/set3_6.png,3.0024855000083335,left,0,0.6423051250167191,0.12886354100191966,suboptimal,0,False,0,0,0,5.499188000016147,6.498751416016603,6.4987770410079975,,,,,,,,,,,,0,0,0,0,0,0,0,0,,48.06480812499649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.42459908299497,47.42973966698628,47.42973966698628,48.04946504198597,space,0.613542208011495,None,48.04953995801043,48.049560249986826,None,set3_5.png,set3_6.png,right,left,right,left,stimuli_sets/set3_6.png,stimuli_sets/set3_5.png,0.007818416022928432,48.05958429200109,48.06480812499649,48.06480812499649,0.010043042013421655,48.56735004199436,48.56735004199436,48.56735004199436,48.56735004199436,48.56735004199436,48.56735004199436,0.5194931660080329,1.1715328330174088,51.052010916988365,left,stimuli_sets/set3_6.png,3.0024855000083335,left,0,0.6423051250167191,0.12886354100191966,51.054902458010474,51.063040792010725,51.063040792010725,51.063040792010725,51.063040792010725,53.556353041989496,53.556353041989496,53.556353041989496,53.556353041989496,53.54866358300205,suboptimal,0,False,0,0,0,5.499188000016147,53.552708125003846,53.556353041989496,53.556353041989496,53.556353041989496,53.556353041989496,54.55080662498949,54.55080662498949,54.55080662498949,54.55080662498949,54.54829229199095,6.498751416016603,6.4987770410079975,54.548355208011344,54.55080662498949,54.55080662498949,56.046611958008725,56.046611958008725,56.03587150000385,,,,,,,,,,,,,,,,,,,,,,pilot-3,ses-1,1,pilot,yes,2025-05-09_17h12.13.355,reward_learning_multises,2024.2.4,None,"{'highgain': {'optimalChoice': 'set3_3.png', 'suboptimalChoice': 'set3_4.png'}, 'lowgain': {'optimalChoice': 'set3_5.png', 'suboptimalChoice': 'set3_6.png'}, 'highloss': {'optimalChoice': 'set3_7.png', 'suboptimalChoice': 'set3_8.png'}, 'lowloss': {'optimalChoice': 'set3_1.png', 'suboptimalChoice': 'set3_2.png'}}",Fri May  9 17:12:28 2025,2025-05-09 17h12.28.467862 -0500,0,
1,1,0,,,,,,,,,,,,,,,,,,,,,,,Run1,2,lowgain,1.0,2.0,1,Drift3,2,space,0.613542208011495,None,None,set3_5.png,set3_6.png,left,right,left,right,stimuli_sets/set3_5.png,stimuli_sets/set3_6.png,7.9871210000128485,8.498933000024408,9.27232279101736,left,stimuli_sets/set3_5.png,10.998656583018601,left,1,0.7587548329902347,0.12500304201967083,optimal,1,True,1,0.25,0.25,12.98505237500649,13.982288125000196,13.982312416017521,,,,,,,,,,,,0,0,0,0,0,1,1,1,,56.046611958008725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,set3_5.png,set3_6.png,left,right,left,right,stimuli_sets/set3_5.png,stimuli_sets/set3_6.png,7.9871210000128485,56.036719708004966,56.046611958008725,56.046611958008725,0.000822000001790002,56.5466357920086,56.5466357920086,56.5466357920086,56.5466357920086,56.5466357920086,56.5466357920086,8.498933000024408,9.27232279101736,59.048184499988565,left,stimuli_sets/set3_5.png,10.998656583018601,left,1,0.7587548329902347,0.12500304201967083,59.048272624990204,59.050254166999366,59.050254166999366,59.050254166999366,59.050254166999366,61.046627458010335,61.046627458010335,61.046627458010335,61.046627458010335,61.034552333003376,optimal,1,True,1,0.25,0.25,12.98505237500649,61.035923582996475,61.046627458010335,61.046627458010335,61.046627458010335,61.046627458010335,62.03357587498613,62.03357587498613,62.03357587498613,62.03357587498613,62.031838708004216,13.982288125000196,13.982312416017521,62.03188966700691,62.03357587498613,62.03357587498613,63.02969112500432,63.02969112500432,63.0184637499915,59.033077125001,59.033077125001,59.033077125001,59.033077125001,59.033077125001,59.033077125001,,,,,,,,,,,,,,,,pilot-3,ses-1,1,pilot,yes,2025-05-09_17h12.13.355,reward_learning_multises,2024.2.4,None,"{'highgain': {'optimalChoice': 'set3_3.png', 'suboptimalChoice': 'set3_4.png'}, 'lowgain': {'optimalChoice': 'set3_5.png', 'suboptimalChoice': 'set3_6.png'}, 'highloss': {'optimalChoice': 'set3_7.png', 'suboptimalChoice': 'set3_8.png'}, 'lowloss': {'optimalChoice': 'set3_1.png', 'suboptimalChoice': 'set3_2.png'}}",Fri May  9 17:12:28 2025,2025-05-09 17h12.28.467862 -0500,0.25,
