thisN,thisTrialN,thisRepN,Trial,leftImgPath,rightImgPath,PracCorrectScan,PracCorrectPilot,pracPress.keys,pracPress.rt,pracPress.duration,key_resp.keys,key_resp.rt,key_resp.duration,pracResp.keys,pracResp.corr,pracResp.rt,pracResp.duration,advanceScreenPress3.keys,advanceScreenPress3.rt,advanceScreenPress3.duration,advanceScreen4.keys,advanceScreen4.rt,advanceScreen4.duration,Runs,trialOrder,condition,fixationDuration,outcomeDelay,optcorrect,CBDrifts,CondOrder,advanceToTrigger.keys,advanceToTrigger.rt,advanceToTrigger.duration,scannerTriggerKey.keys,optimalImg,suboptimalImg,optimalSide,suboptimalSide,optimalResponse,suboptimalResponse,leftImage,rightImage,startFixOnTime,cueOnTime,responseTime,cueResp.keys,cueResp.corr,cueResp.rt,cueResp.duration,optedSide,optedImg,cueOffTime,optedFor,accuracy,outcome,Feedback,gainLossAmount,runningBankTotal,feedbackTime,feedbackOffTime,fixationTime,advanceScreenPress_2.keys,advanceScreenPress_2.rt,advanceScreenPress_2.duration,pracBlock.thisRepN,pracBlock.thisTrialN,pracBlock.thisN,pracBlock.thisIndex,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,runOffTime,thisRow.t,notes,introDir.started,pracDirText.started,advanceScreenPress.started,introDir.stopped,advanceScreenPress.keys,advanceScreenPress.rt,advanceScreenPress.duration,pracDir1.started,choiceDirText.started,prac2Image.started,prac1Image.started,pracPress.started,pracDir1.stopped,pracBlock.pracPress.keys,pracBlock.pracPress.rt,pracBlock.pracPress.duration,pracDir2.started,fixDirText.started,key_resp.started,pracDir2.stopped,pracBlock.key_resp.keys,pracBlock.key_resp.rt,pracBlock.key_resp.duration,pracCue.started,pracLeftImg.started,pracRightImg.started,pracResp.started,pracCue.stopped,practice.pracResp.keys,practice.pracResp.corr,pracJitter.started,pracFix.started,pracJitter.stopped,pracOut.started,pracOutText.started,pracOutFix.started,pracOutText.stopped,pracOutFix.stopped,pracOut.stopped,practice.pracResp.rt,practice.pracResp.duration,pracFix.stopped,gainDirs.started,advanceScreenPress3.started,gainDirText.started,highgainframe.started,lowgainframe.started,highgainTopLabel.started,lowgainTopLabel.started,highgainBottomLabel.started,lowgainBottomLabel.started,highGainLabel.started,lowGainLabel.started,gainDirs.stopped,pracBlock.advanceScreenPress3.keys,pracBlock.advanceScreenPress3.rt,pracBlock.advanceScreenPress3.duration,lossDirs.started,advanceScreen4.started,lossDirText.started,highLossFrame.started,lowLossFrame.started,highLossTopLabel.started,lowLossTopLabel.started,highLossBottomLabel.started,lowLossBottomLabel.started,highLossLabel.started,lowLossLabel.started,lossDirs.stopped,pracBlock.advanceScreen4.keys,pracBlock.advanceScreen4.rt,pracBlock.advanceScreen4.duration,summaryDirections.started,summary.started,advanceScreenPress4.started,summaryDirections.stopped,advanceScreenPress4.keys,advanceScreenPress4.rt,advanceScreenPress4.duration,getReady.started,getReadyText.started,advanceToTrigger.started,getReady.stopped,runs.advanceToTrigger.keys,runs.advanceToTrigger.rt,runs.advanceToTrigger.duration,waitForScanner.started,waitForScanner.stopped,runs.scannerTriggerKey.keys,trials.optimalImg,trials.suboptimalImg,trials.optimalSide,trials.suboptimalSide,trials.optimalResponse,trials.suboptimalResponse,trials.leftImage,trials.rightImage,trials.startFixOnTime,cue.started,startFixStatic.started,staticISI.started,startFixStatic.stopped,leftCue.started,rightCue.started,cueResp.started,trials.cueOnTime,trials.responseTime,cue.stopped,trials.cueResp.keys,trials.cueResp.corr,trials.cueResp.rt,trials.cueResp.duration,trials.optedSide,trials.optedImg,trials.cueOffTime,outcomeDelayRoutine.started,outcomeDelayFix.started,outcomeDelayFix.stopped,outcomeDelayRoutine.stopped,trials.optedFor,trials.accuracy,trials.outcome,trials.Feedback,trials.gainLossAmount,trials.runningBankTotal,trials.feedbackTime,outcomeRoutine.started,outcomeText.started,outcomeRoutine.stopped,trials.feedbackOffTime,trials.fixationTime,fixation.started,fixationCrosshair.started,fixationCrosshair.stopped,fixation.stopped,leftCue.stopped,rightCue.stopped,cueResp.stopped,outcomeText.stopped,trials.runOffTime,breakScreen.started,breakText.started,advanceScreenPress_2.started,breakScreen.stopped,runs.advanceScreenPress_2.keys,runs.advanceScreenPress_2.rt,runs.advanceScreenPress_2.duration,done.started,endExperiment.started,endTaskPress.started,done.stopped,endTaskPress.keys,endTaskPress.rt,endTaskPress.duration,participant,session,startFromRun,mode,practice,date,expName,psychopyVersion,frameRate,cuePairs,expStartTime,expStart,bank,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006778000039048493,0.013510457996744663,0.013510457996744663,45.90328283299459,space,45.85089445800986,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot-1,ses-1,1,pilot,yes,2025-05-21_17h14.10.104,reward_learning_multises,2024.2.4,None,"{'highgain': {'optimalChoice': 'set1_7.png', 'suboptimalChoice': 'set1_8.png'}, 'lowgain': {'optimalChoice': 'set1_1.png', 'suboptimalChoice': 'set1_2.png'}, 'highloss': {'optimalChoice': 'set1_3.png', 'suboptimalChoice': 'set1_4.png'}, 'lowloss': {'optimalChoice': 'set1_5.png', 'suboptimalChoice': 'set1_6.png'}}",Wed May 21 17:14:21 2025,2025-05-21 17h14.21.433515 -0500,,
0,0,0,1,stimuli_sets/prac1.png,stimuli_sets/prac2.png,2,left,left,23.301181750022806,None,space,13.24534645798849,None,None,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,82.64185270800954,,,,,,,,,45.90475308301393,45.92399725003634,45.92399725003634,45.92399725003634,45.92399725003634,69.27839816600317,left,23.301181750022806,None,69.27845666604117,69.28371983300894,69.28371983300894,82.53729558299528,space,13.24534645798849,None,82.63562129100319,82.64185270800954,82.64185270800954,82.64185270800954,85.05401141603943,None,0,85.05421900004148,85.06728262500837,87.55214366602013,87.55818650004221,87.56595241604373,88.53628699999535,88.56536112504546,90.12084391602548,90.02445608301787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot-1,ses-1,1,pilot,yes,2025-05-21_17h14.10.104,reward_learning_multises,2024.2.4,None,"{'highgain': {'optimalChoice': 'set1_7.png', 'suboptimalChoice': 'set1_8.png'}, 'lowgain': {'optimalChoice': 'set1_1.png', 'suboptimalChoice': 'set1_2.png'}, 'highloss': {'optimalChoice': 'set1_3.png', 'suboptimalChoice': 'set1_4.png'}, 'lowloss': {'optimalChoice': 'set1_5.png', 'suboptimalChoice': 'set1_6.png'}}",Wed May 21 17:14:21 2025,2025-05-21 17h14.21.433515 -0500,,
1,1,0,2,stimuli_sets/prac1.png,stimuli_sets/prac2.png,2,left,left,23.301181750022806,None,space,13.24534645798849,None,left,0,0.7579418750246987,0.12625691696302965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,90.12084391602548,,,,,,,,,,,,,,,,,,,,,,,,,90.11604504100978,90.12084391602548,90.12084391602548,90.12084391602548,92.54189412499545,left,0,92.54204550001305,92.54760054103099,95.03794008301338,95.04582370800199,95.05209825001657,96.0297077910509,96.04698766604997,97.61936254100874,97.52491754101356,0.7579418750246987,0.12625691696302965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot-1,ses-1,1,pilot,yes,2025-05-21_17h14.10.104,reward_learning_multises,2024.2.4,None,"{'highgain': {'optimalChoice': 'set1_7.png', 'suboptimalChoice': 'set1_8.png'}, 'lowgain': {'optimalChoice': 'set1_1.png', 'suboptimalChoice': 'set1_2.png'}, 'highloss': {'optimalChoice': 'set1_3.png', 'suboptimalChoice': 'set1_4.png'}, 'lowloss': {'optimalChoice': 'set1_5.png', 'suboptimalChoice': 'set1_6.png'}}",Wed May 21 17:14:21 2025,2025-05-21 17h14.21.433515 -0500,,
2,2,0,3,stimuli_sets/prac2.png,stimuli_sets/prac1.png,3,right,left,23.301181750022806,None,space,13.24534645798849,None,right,0,1.2873748330166563,0.08004220895236358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,97.61936254100874,,,,,,,,,,,,,,,,,,,,,,,,,97.61475333303679,97.61936254100874,97.61936254100874,97.61936254100874,100.04314995801542,right,0,100.04339550004806,100.04988679103553,102.53572466602782,102.53582337504486,102.55248458305141,103.53062845801469,103.54631425003754,105.11448029102758,105.0206771660014,1.2873748330166563,0.08004220895236358,102.55248458305141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot-1,ses-1,1,pilot,yes,2025-05-21_17h14.10.104,reward_learning_multises,2024.2.4,None,"{'highgain': {'optimalChoice': 'set1_7.png', 'suboptimalChoice': 'set1_8.png'}, 'lowgain': {'optimalChoice': 'set1_1.png', 'suboptimalChoice': 'set1_2.png'}, 'highloss': {'optimalChoice': 'set1_3.png', 'suboptimalChoice': 'set1_4.png'}, 'lowloss': {'optimalChoice': 'set1_5.png', 'suboptimalChoice': 'set1_6.png'}}",Wed May 21 17:14:21 2025,2025-05-21 17h14.21.433515 -0500,,
3,3,0,4,stimuli_sets/prac2.png,stimuli_sets/prac1.png,3,right,left,23.301181750022806,None,space,13.24534645798849,None,left,0,1.5478898329893127,0.07329529203707352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,105.11448029102758,,,,,,,,,,,,,,,,,,,,,,,,,105.10990029101958,105.11448029102758,105.11448029102758,105.11448029102758,107.53853245801292,left,0,107.53875912504736,107.55114333302481,110.03773345804075,110.04427941603353,110.0502958750003,111.05135429103393,111.05135429103393,112.62730583304074,112.53505375003442,1.5478898329893127,0.07329529203707352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot-1,ses-1,1,pilot,yes,2025-05-21_17h14.10.104,reward_learning_multises,2024.2.4,None,"{'highgain': {'optimalChoice': 'set1_7.png', 'suboptimalChoice': 'set1_8.png'}, 'lowgain': {'optimalChoice': 'set1_1.png', 'suboptimalChoice': 'set1_2.png'}, 'highloss': {'optimalChoice': 'set1_3.png', 'suboptimalChoice': 'set1_4.png'}, 'lowloss': {'optimalChoice': 'set1_5.png', 'suboptimalChoice': 'set1_6.png'}}",Wed May 21 17:14:21 2025,2025-05-21 17h14.21.433515 -0500,,
4,4,0,5,stimuli_sets/prac1.png,stimuli_sets/prac2.png,2,left,left,23.301181750022806,None,space,13.24534645798849,None,right,0,1.098398125031963,0.06668933300534263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,112.62730583304074,,,,,,,,,,,,,,,,,,,,,,,,,112.62277270801133,112.62730583304074,112.62730583304074,112.62730583304074,115.05316320800921,right,0,115.05340066604549,115.06937354104593,117.55482087499695,117.55491016601445,117.5708861250314,118.5330701660132,118.56676225003321,120.11633312504273,120.02247525000712,1.098398125031963,0.06668933300534263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot-1,ses-1,1,pilot,yes,2025-05-21_17h14.10.104,reward_learning_multises,2024.2.4,None,"{'highgain': {'optimalChoice': 'set1_7.png', 'suboptimalChoice': 'set1_8.png'}, 'lowgain': {'optimalChoice': 'set1_1.png', 'suboptimalChoice': 'set1_2.png'}, 'highloss': {'optimalChoice': 'set1_3.png', 'suboptimalChoice': 'set1_4.png'}, 'lowloss': {'optimalChoice': 'set1_5.png', 'suboptimalChoice': 'set1_6.png'}}",Wed May 21 17:14:21 2025,2025-05-21 17h14.21.433515 -0500,,
5,5,0,6,stimuli_sets/prac2.png,stimuli_sets/prac1.png,3,right,left,23.301181750022806,None,space,13.24534645798849,None,right,0,0.8906270840088837,0.1148854999919422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,5,5,5,,,,,,,,,,120.11633312504273,,,,,,,,,,,,,,,,,,,,,,,,,120.11157854105113,120.11633312504273,120.11633312504273,120.11633312504273,122.5551281250082,right,0,122.55530195799656,122.57141841604607,125.04131350002717,125.04530479101231,125.05143941601273,126.05079979100265,126.05079979100265,127.62817820801865,127.53698325000005,0.8906270840088837,0.1148854999919422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot-1,ses-1,1,pilot,yes,2025-05-21_17h14.10.104,reward_learning_multises,2024.2.4,None,"{'highgain': {'optimalChoice': 'set1_7.png', 'suboptimalChoice': 'set1_8.png'}, 'lowgain': {'optimalChoice': 'set1_1.png', 'suboptimalChoice': 'set1_2.png'}, 'highloss': {'optimalChoice': 'set1_3.png', 'suboptimalChoice': 'set1_4.png'}, 'lowloss': {'optimalChoice': 'set1_5.png', 'suboptimalChoice': 'set1_6.png'}}",Wed May 21 17:14:21 2025,2025-05-21 17h14.21.433515 -0500,,
6,6,0,7,stimuli_sets/prac2.png,stimuli_sets/prac1.png,2,left,left,23.301181750022806,None,space,13.24534645798849,None,left,0,1.7510524170356803,0.08593912498326972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,6,6,6,,,,,,,,,,127.62817820801865,,,,,,,,,,,,,,,,,,,,,,,,,127.624288541032,127.62817820801865,127.62817820801865,127.62817820801865,130.03763337503187,left,0,130.03786533302628,130.05071150005097,132.53823441604618,132.538324416033,132.55569725000532,133.53278079105075,133.5668696250068,135.11268200003542,135.01837104104925,1.7510524170356803,0.08593912498326972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot-1,ses-1,1,pilot,yes,2025-05-21_17h14.10.104,reward_learning_multises,2024.2.4,None,"{'highgain': {'optimalChoice': 'set1_7.png', 'suboptimalChoice': 'set1_8.png'}, 'lowgain': {'optimalChoice': 'set1_1.png', 'suboptimalChoice': 'set1_2.png'}, 'highloss': {'optimalChoice': 'set1_3.png', 'suboptimalChoice': 'set1_4.png'}, 'lowloss': {'optimalChoice': 'set1_5.png', 'suboptimalChoice': 'set1_6.png'}}",Wed May 21 17:14:21 2025,2025-05-21 17h14.21.433515 -0500,,
7,7,0,8,stimuli_sets/prac1.png,stimuli_sets/prac2.png,2,left,left,23.301181750022806,None,space,13.24534645798849,None,right,0,1.3291968340054154,0.08674679097020999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,7,7,7,,,,,,,,,,135.11268200003542,,,,,,,,,,,,,,,,,,,,,,,,,135.10823137499392,135.11268200003542,135.11268200003542,135.11268200003542,137.53835770802107,right,0,137.53859679104062,137.55455287499353,140.05098941602046,140.0558387080091,140.0689988330123,141.02973191603087,141.06329116603592,142.60791079100454,142.51535691600293,1.3291968340054154,0.08674679097020999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot-1,ses-1,1,pilot,yes,2025-05-21_17h14.10.104,reward_learning_multises,2024.2.4,None,"{'highgain': {'optimalChoice': 'set1_7.png', 'suboptimalChoice': 'set1_8.png'}, 'lowgain': {'optimalChoice': 'set1_1.png', 'suboptimalChoice': 'set1_2.png'}, 'highloss': {'optimalChoice': 'set1_3.png', 'suboptimalChoice': 'set1_4.png'}, 'lowloss': {'optimalChoice': 'set1_5.png', 'suboptimalChoice': 'set1_6.png'}}",Wed May 21 17:14:21 2025,2025-05-21 17h14.21.433515 -0500,,
8,8,0,9,stimuli_sets/prac1.png,stimuli_sets/prac2.png,2,left,left,23.301181750022806,None,space,13.24534645798849,None,right,0,1.2952463330002502,0.07866624998860061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,8,8,8,,,,,,,,,,142.60791079100454,,,,,,,,,,,,,,,,,,,,,,,,,142.60340208304115,142.60791079100454,142.60791079100454,142.60791079100454,145.04218187503284,right,0,145.04233070800547,145.04729691601824,147.53501537500415,147.5350750000216,147.55245783302234,148.53000100003555,148.5466491249972,150.1080124580185,150.02128187502967,1.2952463330002502,0.07866624998860061,147.55245783302234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot-1,ses-1,1,pilot,yes,2025-05-21_17h14.10.104,reward_learning_multises,2024.2.4,None,"{'highgain': {'optimalChoice': 'set1_7.png', 'suboptimalChoice': 'set1_8.png'}, 'lowgain': {'optimalChoice': 'set1_1.png', 'suboptimalChoice': 'set1_2.png'}, 'highloss': {'optimalChoice': 'set1_3.png', 'suboptimalChoice': 'set1_4.png'}, 'lowloss': {'optimalChoice': 'set1_5.png', 'suboptimalChoice': 'set1_6.png'}}",Wed May 21 17:14:21 2025,2025-05-21 17h14.21.433515 -0500,,
